,Part,Quantity,Links,Price,Shipping & Taxes,Total Price
1,Solenoid Valve,1,https://www.aliexpress.us/item/3256804723545328.html,$2.89,$0.25,$3.14
2,Raspberry Pi Pico,1,https://www.aliexpress.us/item/3256804863724174.html,$2.41,$0.21,$2.62
3,DHT11,1,tps://www.aliexpress.us/item/3256806574401046.html,$1.82,$0.11,$1.93
4,Powerboost 500,1,https://www.adafruit.com/product/1903,$9.95,unknown,$9.95
5,Hobby motor,1,https://www.aliexpress.us/item/3256805240402474.html,$1.89,$0.16,$2.05
6,Fan,1,https://www.aliexpress.us/item/3256805388685913.html,$1.89,$0.16,$2.05
7,3000 mAh Li-ion battery,1,https://www.aliexpress.us/item/3256806390215244.html,$8.49,$4.25,$12.74
8,Button 6mm,1,https://www.aliexpress.us/item/3256807058675649.html,$1.91,$0.16,$2.07
9,LED,1,https://www.aliexpress.us/item/3256808495758551.html,$4.68,$0.20,$4.88
10,Water tube,1,https://www.aliexpress.us/item/3256804499909200.html,$2.09,$4.26,$6.35
Totals,,,,$38.02,$9.76,$47.78